<html><img src="Abchasien.png"></html>; Abchasien
<html><img src="Afghanistan.png"></html>; Afghanistan
<html><img src="Ägypten.png"></html>; Ägypten
<html><img src="Albanien.png"></html>; Albanien
<html><img src="Algerien.png"></html>; Algerien
<html><img src="Andorra.png"></html>; Andorra
<html><img src="Angola.png"></html>; Angola
<html><img src="Antigua und Barbuda.png"></html>; Antigua und Barbuda
<html><img src="Äquatorialguinea.png"></html>; Äquatorialguinea
<html><img src="Argentinien.png"></html>; Argentinien
<html><img src="Armenien.png"></html>; Armenien
<html><img src="Republik Arzach.png"></html>; Republik Arzach
<html><img src="Aserbaidschan.png"></html>; Aserbaidschan
<html><img src="Äthiopien.png"></html>; Äthiopien
<html><img src="Australien.png"></html>; Australien
<html><img src="Bahamas.png"></html>; Bahamas
<html><img src="Bahrain.png"></html>; Bahrain
<html><img src="Bangladesch.png"></html>; Bangladesch
<html><img src="Barbados.png"></html>; Barbados
<html><img src="Belgien.png"></html>; Belgien
<html><img src="Belize.png"></html>; Belize
<html><img src="Benin.png"></html>; Benin
<html><img src="Bhutan.png"></html>; Bhutan
<html><img src="Bolivien.png"></html>; Bolivien
<html><img src="Bosnien und Herzegowina.png"></html>; Bosnien und Herzegowina
<html><img src="Botswana.png"></html>; Botswana
<html><img src="Brasilien.png"></html>; Brasilien
<html><img src="Brunei.png"></html>; Brunei
<html><img src="Bulgarien.png"></html>; Bulgarien
<html><img src="Burkina Faso.png"></html>; Burkina Faso
<html><img src="Burundi.png"></html>; Burundi
<html><img src="Chile.png"></html>; Chile
<html><img src="Republik China (Taiwan).png"></html>; Republik China (Taiwan)
<html><img src="Volksrepublik China.png"></html>; Volksrepublik China
<html><img src="Cookinseln.png"></html>; Cookinseln
<html><img src="Costa Rica.png"></html>; Costa Rica
<html><img src="Dänemark.png"></html>; Dänemark
<html><img src="Deutschland.png"></html>; Deutschland
<html><img src="Dominica.png"></html>; Dominica
<html><img src="Dominikanische Republik.png"></html>; Dominikanische Republik
<html><img src="Dschibuti.png"></html>; Dschibuti
<html><img src="Ecuador.png"></html>; Ecuador
<html><img src="El Salvador.png"></html>; El Salvador
<html><img src="Elfenbeinküste.png"></html>; Elfenbeinküste
<html><img src="Eritrea.png"></html>; Eritrea
<html><img src="Estland.png"></html>; Estland
<html><img src="Eswatini.png"></html>; Eswatini
<html><img src="Fidschi.png"></html>; Fidschi
<html><img src="Finnland.png"></html>; Finnland
<html><img src="Frankreich.png"></html>; Frankreich
<html><img src="Gabun.png"></html>; Gabun
<html><img src="Gambia.png"></html>; Gambia
<html><img src="Georgien.png"></html>; Georgien
<html><img src="Ghana.png"></html>; Ghana
<html><img src="Grenada.png"></html>; Grenada
<html><img src="Griechenland.png"></html>; Griechenland
<html><img src="Guatemala.png"></html>; Guatemala
<html><img src="Guinea.png"></html>; Guinea
<html><img src="Guinea-Bissau.png"></html>; Guinea-Bissau
<html><img src="Guyana.png"></html>; Guyana
<html><img src="Haiti.png"></html>; Haiti
<html><img src="Honduras.png"></html>; Honduras
<html><img src="Indien.png"></html>; Indien
<html><img src="Indonesien.png"></html>; Indonesien
<html><img src="Irak.png"></html>; Irak
<html><img src="Iran.png"></html>; Iran
<html><img src="Irland.png"></html>; Irland
<html><img src="Island.png"></html>; Island
<html><img src="Israel.png"></html>; Israel
<html><img src="Italien.png"></html>; Italien
<html><img src="Jamaika.png"></html>; Jamaika
<html><img src="Japan.png"></html>; Japan
<html><img src="Jemen.png"></html>; Jemen
<html><img src="Jordanien.png"></html>; Jordanien
<html><img src="Kambodscha.png"></html>; Kambodscha
<html><img src="Kamerun.png"></html>; Kamerun
<html><img src="Kanada.png"></html>; Kanada
<html><img src="Kap Verde.png"></html>; Kap Verde
<html><img src="Kasachstan.png"></html>; Kasachstan
<html><img src="Katar.png"></html>; Katar
<html><img src="Kenia.png"></html>; Kenia
<html><img src="Kirgisistan.png"></html>; Kirgisistan
<html><img src="Kiribati.png"></html>; Kiribati
<html><img src="Kolumbien.png"></html>; Kolumbien
<html><img src="Komoren.png"></html>; Komoren
<html><img src="Demokratische Republik Kongo.png"></html>; Demokratische Republik Kongo
<html><img src="Republik Kongo.png"></html>; Republik Kongo
<html><img src="Nordkorea.png"></html>; Nordkorea
<html><img src="Südkorea.png"></html>; Südkorea
<html><img src="Kosovo.png"></html>; Kosovo
<html><img src="Kroatien.png"></html>; Kroatien
<html><img src="Kuba.png"></html>; Kuba
<html><img src="Kuwait.png"></html>; Kuwait
<html><img src="Laos.png"></html>; Laos
<html><img src="Lesotho.png"></html>; Lesotho
<html><img src="Lettland.png"></html>; Lettland
<html><img src="Libanon.png"></html>; Libanon
<html><img src="Liberia.png"></html>; Liberia
<html><img src="Libyen.png"></html>; Libyen
<html><img src="Liechtenstein.png"></html>; Liechtenstein
<html><img src="Litauen.png"></html>; Litauen
<html><img src="Luxemburg.png"></html>; Luxemburg
<html><img src="Madagaskar.png"></html>; Madagaskar
<html><img src="Malawi.png"></html>; Malawi
<html><img src="Malaysia.png"></html>; Malaysia
<html><img src="Malediven.png"></html>; Malediven
